room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9425087,45835636.0,Entire home/apt,,Downtown,0,,4.0,2.0,209.0,14.0,42.357833,-71.055066,2015-11-22 13:47:53.999928
9478553,14890516.0,Entire home/apt,,Downtown,0,,4.0,2.0,219.0,2.0,42.357844,-71.054507,2015-11-22 21:19:28.263244
9229058,9317555.0,Entire home/apt,,Leather District,0,,3.0,2.0,299.0,2.0,42.350614,-71.056625,2015-11-24 13:10:21.260175
9154532,38709010.0,Entire home/apt,,Downtown,0,,2.0,1.0,155.0,1.0,42.353309,-71.063385,2015-11-22 07:58:19.864254
9060132,41282500.0,Entire home/apt,,Fenway,0,,2.0,1.0,100.0,1.0,42.347544,-71.103863,2015-11-22 09:58:03.235936
9130532,47559181.0,Entire home/apt,,Fenway,0,,2.0,0.0,110.0,1.0,42.347531,-71.103531,2015-11-23 05:48:33.880278
9364092,24904722.0,Entire home/apt,,Fenway,0,,2.0,1.0,142.0,1.0,42.34513,-71.090742,2015-11-22 09:11:38.187342
8335838,30283594.0,Entire home/apt,,Fenway,0,,5.0,2.0,169.0,3.0,42.344883,-71.101397,2015-11-22 23:00:16.790016
9461679,47383508.0,Entire home/apt,,Fenway,0,,4.0,2.0,208.0,3.0,42.342214,-71.08732,2015-11-21 23:55:20.001498
3278624,9419684.0,Entire home/apt,,Fenway,0,,5.0,2.0,312.0,3.0,42.344066,-71.101743,2015-11-22 09:39:28.874228
5684346,18494756.0,Entire home/apt,,Fenway,0,,3.0,1.0,155.0,1.0,42.343105,-71.088399,2015-11-23 02:38:59.941335
8325030,30283594.0,Entire home/apt,,Fenway,0,,5.0,2.0,169.0,3.0,42.345422,-71.099882,2015-11-22 11:08:28.991705
8184007,30283594.0,Entire home/apt,,Fenway,0,,5.0,2.0,169.0,3.0,42.344442,-71.10191,2015-11-22 02:46:34.297061
8334845,30283594.0,Entire home/apt,,Fenway,0,,5.0,2.0,169.0,3.0,42.343016,-71.099856,2015-11-23 01:58:01.265316
